gene_symbol,log2FoldChange,lfcSE,padj,context
POLR3B,-0.1939155598250108,0.3112408285668031,0.6401914862616209,GSE278320 VacV
ANGEL1,-0.764973686421273,0.3493803082087638,0.055347429840653,GSE278320 VacV
RNF14,-0.6921235156899387,0.2245700933507015,0.0054498510175868,GSE278320 VacV
DNASE1L1,-1.2978629620666262,0.3560455596399123,0.0008919209540496,GSE278320 VacV
DDX11,1.1095799675718545,0.2859862521371195,0.0003863940958825,GSE278320 VacV
HEBP1,-2.238724834396272,0.3632913291405297,7.708518733401327e-09,GSE278320 VacV
GPRC5A,3.372377185169397,1.473769915219576,0.044321324289641,GSE278320 VacV
MAMLD1,-1.3428839805121648,0.4051499340543157,0.0026591285155984,GSE278320 VacV
TACC3,0.7801566020373274,0.3189837211317888,0.0304687558334231,GSE278320 VacV
UFL1,-0.3144734281683048,0.2366927728095708,0.2725327355437249,GSE278320 VacV
POLA2,-0.5612195442047496,0.4468106809057106,0.3024720475566109,GSE278320 VacV
ZC3H3,0.3847329105236785,0.3659812839916975,0.3991011492051399,GSE278320 VacV
CAPN1,-2.634286465094143,0.2595697738579308,1.8786235921670628e-22,GSE278320 VacV
MDH1,-1.24102100055953,0.181435356708706,1.168466336648912e-10,GSE278320 VacV
SLC30A9,-1.420063015064052,0.2693730746084315,9.495594790181564e-07,GSE278320 VacV
MTMR11,3.852486054009887,0.5001493632066023,2.938528127170549e-13,GSE278320 VacV
COX15,-0.4552365578949301,0.3393339711376447,0.2671101035235426,GSE278320 VacV
CCDC88C,-1.871399504418035,0.2927102217239526,1.958772047640311e-09,GSE278320 VacV
YAF2,0.9163665453410332,0.2116642274966286,6.82777821377332e-05,GSE278320 VacV
ZMYND11,-0.2145099903261904,0.2533226774689109,0.509834616019678,GSE278320 VacV
WAS,-0.8145388813210946,1.1685481915066136,0.5969152557314422,GSE278320 VacV
BID,-0.0700935021935181,0.3360017115559321,0.8878351253253562,GSE278320 VacV
MATR3,3.9504959577254826,0.337844049664479,1.0065986360834392e-29,GSE278320 VacV
XYLT2,-0.8588754608424571,0.2816489937389589,0.006008318307452,GSE278320 VacV
RGPD5,2.2714664923794294,0.7308256708145926,0.005043525185034,GSE278320 VacV
NUDCD3,-0.1874934430296933,0.1733548679980546,0.3836570965307682,GSE278320 VacV
ISL1,0.1202780560407416,0.4488276997385678,0.8525883563894914,GSE278320 VacV
CHDH,-1.5048069539315838,0.4293096182326437,0.0014311073394322,GSE278320 VacV
IL20RA,-0.6376179577114934,2.075672112836996,0.8297704307893221,GSE278320 VacV
GLT8D1,-1.0089283953875554,0.2348130459910563,7.786716023325573e-05,GSE278320 VacV
ATP2C1,0.106801338486545,0.157042747851138,0.6069329229444899,GSE278320 VacV
SLC38A5,-1.4646281452186718,0.2894581996391422,2.68614578416432e-06,GSE278320 VacV
RALBP1,-1.9351733808449836,0.2574167187485601,1.1292185751230856e-12,GSE278320 VacV
RUFY3,0.8099286587165395,0.3459566688614714,0.0392282142724605,GSE278320 VacV
CNTN1,-1.4610512465535626,0.3029199441511931,8.14157433728957e-06,GSE278320 VacV
SLC11A1,2.3157085932280443,0.7323111018566966,0.0042876864772714,GSE278320 VacV
WWTR1,-1.4077467120972238,0.229872230483123,9.649712091912092e-09,GSE278320 VacV
AGPS,-0.4795809745985843,0.1585239442607147,0.0064539948103174,GSE278320 VacV
STEEP1,-1.2474862056579747,0.3340035954637075,0.0006505015432367,GSE278320 VacV
TTC27,-0.8825653639160121,0.5089720744698204,0.1389995534715355,GSE278320 VacV
